variable,entite,label,nb_fichiers,nb_utilisations,exemples_fichiers
abic_exon,individus,Revenus industriels et commerciaux nets exonérés yc plus-values avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_impm,individus,Locations meublées imposables avec CGA ou viseur (régime du bénéfice réel pour les revenus industriels et commerciaux professionnels),1,2,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_impn,individus,Revenus industriels et commerciaux imposables: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),7,21,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml; calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml; ... et 4 autres
abic_info,individus,Revenus industriels et commerciaux professionnels : Revenus nets de la cession ou concession de brevets et assimilés,1,1,calculateur_impots/yaml/rpns_pv.yaml
abic_pvce,individus,Plus-values industrielles et commerciales de cession taxables selon droit commun avec CGA ou viseur (régime du bénéfice réel),2,4,calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abnc_impo,individus,"Revenus non commerciaux professionnels imposables (régime de la déclaration controlée, revenus bénéficiant de l",1,1,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
acs,famille,Montant (annuel) de l,123,123,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 120 autres
activite,individus,Activité,116,381,calculateur_impots/yaml/caseP.yaml; mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; ... et 113 autres
aeeh,famille,Allocation d,1,1,formulas/patrimoine.yaml
aeeh_niveau_handicap,individus,Catégorie de handicap prise en compte pour l,1,1,formulas/aeeh.yaml
aer,individus,Allocation équivalent retraite (AER),1,5,formulas/per.yaml
af,famille,Allocations familiales - total des allocations,134,142,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 131 autres
af_nbenf,famille,Nombre d,2,9,formulas/aah/aah_couple.yaml; formulas/aah/aah_famille.yaml
age,individus,Âge (en années) au premier jour du mois,159,263,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 156 autres
age_en_mois,individus,Âge (en mois),125,126,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 122 autres
agepi,individus,Montant de l,1,14,formulas/agepi.yaml
agepi_date_demande,individus,Date de demande d,1,14,formulas/agepi.yaml
agepi_temps_travail_en_heure,individus,Temps de travail en heures pour le calcul de l,1,14,formulas/agepi.yaml
aide_logement,famille,Aide au logement (tout type),130,154,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 127 autres
aide_logement_base_ressources,famille,Base ressources des allocations logement,2,11,formulas/aides_logement_primo_accedant.yaml; formulas/aides_logement.yaml
aide_logement_base_ressources_individu,individus,Base ressource individuelle des aides logement,1,2,formulas/aides_logement.yaml
aide_logement_date_pret_conventionne,menage,Date de contraction du prêt conventionné ,6,17,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/testMAcas1_6_couple_accedant_a_la_propriete_AL_1126_E_M_de_salaire_net.yaml; ... et 3 autres
aides_logement_primo_accedant_eligibilite,menage,,1,1,formulas/aides_logement_primo_accedant.yaml
alf,famille,Allocation logement familiale,118,122,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 115 autres
allocation_retour_emploi_journaliere,individus,Allocation chômage d,2,15,formulas/agepi.yaml; formulas/complement_are.yaml
allocation_securisation_professionnelle,individus,Allocation de sécurisation professionnelle,1,1,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml
alnp_defs,individus,Déficits de locations meublées non professionnelles avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
alnp_imps,individus,Locations meublées non professionnelles imposables avec CGA ou viseur (régime du bénéfice réel),1,4,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
als,famille,Allocation logement sociale,118,122,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 115 autres
apl,famille,Aide personnalisée au logement,119,123,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 116 autres
arag_defi,individus,"Déficits agricoles (Régime du bénéfice réel, revenus bénéficiant de l",1,4,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
arag_impg,individus,"Revenus agricoles imposables, cas général moyenne triennale (Régime du bénéfice réel, revenus bénéficiant de l",5,14,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml; calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml; calculateur_impots/yaml/rpns_pv.yaml; ... et 2 autres
arag_impo_n2,individus,"Revenus agricoles, régime du bénéfice réel année n-2",1,1,calculateur_impots/yaml/regime_microBA.yaml
arag_info,individus,Revenus agricoles: revenus nets de la cession ou concession de brevets et assimilés,1,1,calculateur_impots/yaml/rpns_pv.yaml
arag_pvce,individus,"Plus-values agricoles de cession taxables au régime de droit commun (Régime du bénéfice réel, revenus bénéficiant de l",2,5,calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
are_salaire_journalier_reference,individus,Salaire journalier de référence (SJR) au sens des allocations chômage,1,1,formulas/complement_are.yaml
asf,famille,Allocation de soutien familial (ASF),129,132,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 126 autres
asf_elig_enfant,individus,Enfant pouvant ouvrir droit à l,1,1,formulas/asf/2018-07.yaml
asi,individus,Allocation supplémentaire d,1,7,formulas/cs/css_abattement_asi.yaml
asi_aspa_base_ressources_individu,individus,Base ressources individuelle du minimum vieillesse/ASPA,3,11,formulas/asi_aspa.yaml; formulas/aspa.yaml; formulas/asi.yaml
asi_eligibilite,individus,Indicatrice individuelle d,1,2,formulas/asi.yaml
asile_demandeur,famille,Famille demandant l,2,2,formulas/aefa.yaml; formulas/ada.yaml
aspa,famille,Allocation de solidarité aux personnes agées,128,142,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 125 autres
aspa_eligibilite,individus,Indicatrice individuelle d,1,3,formulas/asi_aspa.yaml
ass,individus,Montant de l,1,5,formulas/per.yaml
ass_base_ressources,famille,Base de ressources de l,2,9,formulas/ass_04_2018.yaml; formulas/ass_mayotte.yaml
ass_precondition_remplie,individus,Éligible à l,19,36,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_546b4abfde0b44f86312e9e3.yaml; formulas/ass_mayotte.yaml; ... et 16 autres
autres,menage,,1,1,formulas/visale.yaml
bourse_college,famille,Montant annuel de la bourse de collège,123,123,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 120 autres
bourse_criteres_sociaux_echelon,individus,Échelon de la bourse sur critères sociaux de l,12,12,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; ... et 9 autres
bourse_enseignement_sup,individus,Toute bourse de l,2,3,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; formulas/per.yaml
bourse_lycee,famille,Montant annuel de la bourse de lycée,123,123,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 120 autres
bourse_recherche,individus,Bourse de recherche,1,1,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml
boursier,individus,Élève ou étudiant boursier,17,18,mes-aides.gouv.fr/test_mes_aides_54818ddcf2c0258f66c50c84.yaml; mes-aides.gouv.fr/test_mes_aides_54818d18ed60b88866befc61.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; ... et 14 autres
caah,individus,Complément d,3,3,mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; mes-aides.gouv.fr/ludwig_test_1515421207606.yaml; mes-aides.gouv.fr/ludwig_test_1515420730955.yaml
caseF,foyer_fiscal,Situation pouvant donner droit à une demi-part supplémentaire : conjoint titulaire d,80,305,calculateur_impots/yaml/caseP.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; calculateur_impots/yaml/reduc_intagr.yaml; ... et 77 autres
caseG,foyer_fiscal,Titulaire d,80,303,calculateur_impots/yaml/caseP.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; calculateur_impots/yaml/reduc_intagr.yaml; ... et 77 autres
caseL,foyer_fiscal,Situation pouvant donner droit à une demi-part supplémentaire: vous vivez seul au 1er janvier de l,68,256,calculateur_impots/yaml/reduc_doment.yaml; calculateur_impots/yaml/regime_forfait_agricole.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; ... et 65 autres
caseP,foyer_fiscal,Titulaire d,82,306,calculateur_impots/yaml/caseP.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; calculateur_impots/yaml/reduc_intagr.yaml; ... et 79 autres
caseS,foyer_fiscal,Vous êtes mariés/pacsés et l,80,303,calculateur_impots/yaml/caseP.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; calculateur_impots/yaml/reduc_intagr.yaml; ... et 77 autres
caseT,foyer_fiscal,Vous êtes parent isolé au 1er janvier de l,68,266,calculateur_impots/yaml/reduc_doment.yaml; calculateur_impots/yaml/regime_forfait_agricole.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; ... et 65 autres
caseW,foyer_fiscal,Vous ou votre conjoint (même s,81,304,calculateur_impots/yaml/caseP.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; calculateur_impots/yaml/reduc_intagr.yaml; ... et 78 autres
categorie_salarie,individus,Catégorie de salarié,2,3,cotisations_sociales_simulateur_IPP.yaml; formulas/financement_organisations_syndicales.yaml
celibataire_ou_divorce,foyer_fiscal,Déclarant célibataire ou divorcé,1,10,impot_revenu/nombre_de_parts/celibataire_ou_divorce.yaml
cf,famille,Complément familial,130,133,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 127 autres
cf_non_majore_avant_cumul,famille,Complément familial non majoré avant cumul,1,1,formulas/rsa.yaml
charges_locatives,menage,Charges locatives,3,3,mes-aides.gouv.fr/ludwig_test_1520950068799.yaml; formulas/aides_logement_reforme_janvier_2021.yaml; mes-aides.gouv.fr/ludwig_test_1520961427075.yaml
chomage_brut,individus,Chômage brut,3,3,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; formulas/ass_revenus_immo.yaml; mes-aides.gouv.fr/test_mes_aides_54c8f41de45751d544f05fec.yaml
chomage_imposable,individus,Allocations chômage imposables,8,8,mes-aides.gouv.fr/test_mes_aides_5592b42d131e5b05301ebc8f.yaml; mes-aides.gouv.fr/test_mes_aides_5591478e131e5b05301eb8fa.yaml; mes-aides.gouv.fr/test_mes_aides_55913e82131e5b05301eb89c.yaml; ... et 5 autres
chomage_net,individus,Allocations chômage nettes,9,22,formulas/ass_eligibilite.yaml; formulas/cs/cmu_fiab.yaml; mes-aides.gouv.fr/test_mes_aides_54c8f41de45751d544f05fec.yaml; ... et 6 autres
cncn_aimp,individus,Revenus imposables non commerciaux non professionnels avec CGA (régime de la déclaration contrôlée),1,1,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
coloc,menage,Vie en colocation,9,9,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/testMAcas1_6_couple_accedant_a_la_propriete_AL_1126_E_M_de_salaire_net.yaml; ... et 6 autres
complement_are_nombre_jours_restants,individus,Nombre de jours restants avant épuisement des droits à l,1,1,formulas/complement_are.yaml
conjoint,menage,,78,223,calculateur_impots/yaml/caseP.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 75 autres
contrat_aide,individus,L,1,12,formulas/agepi.yaml
contrat_de_travail_debut,individus,Date d,1,14,formulas/agepi.yaml
contrat_de_travail_duree,individus,Durée du contrat de travail en mois,1,14,formulas/agepi.yaml
contrat_de_travail_type,individus,Type du contrat de travail,1,14,formulas/agepi.yaml
coupe_bois,individus,Revenus forfaitaire provenant des coupes de bois,1,1,calculateur_impots/yaml/regime_microBA.yaml
css_cmu_forfait_logement_al,famille,Forfait logement applicable en cas d,3,5,formulas/cs/cmu.yaml; formulas/cs/acs.yaml; formulas/cs/cmu_rente_at.yaml
css_cmu_forfait_logement_base,famille,Forfait logement applicable en cas de propriété ou d,2,2,formulas/cs/acs.yaml; formulas/cs/cmu_fiab.yaml
date_arret_de_travail,individus,Date depuis laquelle la personne est en arrêt de travail,14,14,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; ... et 11 autres
date_creation,individus,Revenus agricoles : Année de création de l’activité,1,2,calculateur_impots/yaml/regime_microBA.yaml
date_naissance,individus,Date de naissance,236,604,calculateur_impots/yaml/caseP.yaml; mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; calculateur_impots/yaml/reduc_scelli_metro_bbc.yaml; ... et 233 autres
dedommagement_victime_amiante,individus,Dédommagement versé aux victimes de l,1,1,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml
degressivite_are,individus,L,1,1,formulas/complement_are.yaml
demande_rachat,individus,La victime a demandé le rachat partiel de la rente,1,1,formulas/rente_at.yaml
depcom,menage,Code INSEE (depcom) de la commune du lieu de résidence,115,115,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 112 autres
depcom_entreprise,individus,Localisation entreprise (depcom),1,2,cotisations_sociales_simulateur_IPP.yaml
depcom_foyer,foyer_fiscal,Code AFT du lieu de domicile fiscal,1,8,impot_revenu/abattement_dom.yaml
dependance_tarif_etablissement_gir_1_2,individus,Tarif dépendance de l,1,1,formulas/autonomie.yaml
dependance_tarif_etablissement_gir_3_4,individus,Tarif dépendance de l,1,1,formulas/autonomie.yaml
dependance_tarif_etablissement_gir_5_6,individus,Tarif dépendance de l,1,1,formulas/autonomie.yaml
duree_formation,individus,Durée de la formation en heures,1,1,formulas/agepi.yaml
duree_possession_titre_sejour,individus,Durée depuis laquelle l,1,3,formulas/aspa.yaml
ebic_impv,individus,Revenus industriels et commerciaux professionnels imposables: vente de marchandises et assimilées (régime auto-entrepreneur ayant opté pour le versement libératoire),1,1,formulas/microsocial.yaml
effectif_entreprise,individus,Effectif de l,1,2,cotisations_sociales_simulateur_IPP.yaml
en_couple,famille,Indicatrice de vie en couple,3,13,formulas/aah/aah_couple.yaml; formulas/rsa/rsa_exclusion_foyer.yaml; formulas/aah/aah_famille.yaml
enceinte,individus,Est enceinte,24,24,mes-aides.gouv.fr/test_mes_aides_53d7b76df6aa390200a6cd5c.yaml; mes-aides.gouv.fr/test_mes_aides_53d79de9f6aa390200a6cd31.yaml; mes-aides.gouv.fr/test_mes_aides_546b4b61ba32fff66335d381.yaml; ... et 21 autres
enfant_a_charge,individus,"Enfant à charge non marié, de moins de 18 ans non émancipé au 1er janvier de l",14,14,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; ... et 11 autres
enfant_place,individus,Enfant placé en structure spécialisée ou famille d,14,14,mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_2.yaml; mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; ... et 11 autres
epargne_revenus_imposables,individus,Épargne générant des revenus imposables,2,5,formulas/aides_logement.yaml; mes-aides.gouv.fr/ludwig_test_1520961427075.yaml
epargne_revenus_non_imposables,individus,Épargne générant des revenus non imposables hors Livret A,3,11,mes-aides.gouv.fr/test_mes_aides_542134d3fb35830200b31345.yaml; formulas/patrimoine.yaml; mes-aides.gouv.fr/test_mes_aides_5421356afb35830200b3134c.yaml
etat_logement,menage,Etat du logement,1,12,formulas/aides_logement_accedant_eligibilite.yaml
etudiant,individus,Indique que l,118,120,mes-aides.gouv.fr/test_mes_aides_5438036f6c1222dc0d3ec937.yaml; mes-aides.gouv.fr/test_mes_aides_54818e47aad65891668c6d8c.yaml; mes-aides.gouv.fr/test_mes_aides_545a4dc2ffe6a1e044e6c2a2.yaml; ... et 115 autres
f2ca,foyer_fiscal,Frais et charges déductibles,1,2,impot_revenu/pfu_bareme.yaml
f2ch,foyer_fiscal,Produits des contrats d,2,4,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2da,foyer_fiscal,Revenus des actions et parts soumis au prélèvement libératoire de 21 %,1,1,calculateur_impots/yaml/abat_dividendes.yaml
f2dc,foyer_fiscal,Revenus des actions et parts donnant droit à abattement,3,5,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/abat_dividendes.yaml; calculateur_impots/yaml/rvcm.yaml
f2dh,foyer_fiscal,Produits d’assurance-vie et de capitalisation soumis au prélèvement libératoire de 7.5 %,1,2,calculateur_impots/yaml/rvcm.yaml
f2fu,foyer_fiscal,Revenus imposables des titres non côtés détenus dans le PEA et distributions perçues via votre entreprise donnant droit à abattement,2,3,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2go,foyer_fiscal,Autres revenus distribués et revenus des structures soumises hors de France à un régime fiscal privilégié (n,2,7,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2op,foyer_fiscal,Le foyer fiscal choisit l imposition au barème plutôt que le pfu si il coche la case 2op,1,10,impot_revenu/pfu_bareme.yaml
f2tq,foyer_fiscal,Intérêts imposables des obligations remboursables en actions détenues dans le PEA-PME,1,4,impot_revenu/pfu_bareme.yaml
f2tr,foyer_fiscal,"Produits de placements à revenu fixe, intérêts et autres revenus assimilés (n",3,7,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/reduc_intagr.yaml; calculateur_impots/yaml/rvcm.yaml
f2ts,foyer_fiscal,"Revenus de valeurs mobilières, produits des contrats d",2,4,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2tt,foyer_fiscal,Intérêts des prêts participatifs nettes des pertes à imputer au titre de l,2,7,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2tz,foyer_fiscal,Produits des plans d,1,2,impot_revenu/pfu_bareme.yaml
f2vv,foyer_fiscal,Produits des bons ou contrats de capitalisation et d,2,3,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2ww,foyer_fiscal,Produits des bons ou contrats de capitalisation et d,2,3,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f2yy,foyer_fiscal,Produits des bons ou contrats de capitalisation et d,1,1,calculateur_impots/yaml/rvcm.yaml
f2zz,foyer_fiscal,Produits des bons ou contrats de capitalisation et d,2,3,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/rvcm.yaml
f3an,foyer_fiscal,Plus-value réalisée sur la cession d,2,3,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/pv_pfu.yaml
f3pi,foyer_fiscal,Profits sur instruments financiers réalisés dans des ETNC ou paradis fiscaux,1,1,calculateur_impots/yaml/pv_pfu.yaml
f3sb,foyer_fiscal,Plus-values en report d,1,2,impot_revenu/pfu_bareme.yaml
f3sg,foyer_fiscal,Abattement net pour durée de détention (détention de droit commun à partir de 2015) : appliqué sur des plus-values,1,2,impot_revenu/pfu_bareme.yaml
f3sk,foyer_fiscal,Gains de cession de bons de souscription de parts de créateur d,1,1,calculateur_impots/yaml/pv_pfu.yaml
f3sl,foyer_fiscal,Abattement net pour durée de détention renforcée : appliqué sur des plus-values,1,2,impot_revenu/pfu_bareme.yaml
f3tj,foyer_fiscal,Gains de cession de bons de souscription de parts de créateur d,1,4,impot_revenu/pfu_bareme.yaml
f3tk,foyer_fiscal,Abattement forfaitaire sur les gains de cession de bons de souscription de parts de créateur d,1,2,impot_revenu/pfu_bareme.yaml
f3ua,foyer_fiscal,Plus-values bénéficiant de l,1,6,impot_revenu/pfu_bareme.yaml
f3va,foyer_fiscal,Abattement fixe spécial appliqué sur des plus-values réalisées par les dirigeants de PME lors de leur départ à la retraite,1,2,impot_revenu/pfu_bareme.yaml
f3vg,foyer_fiscal,"Plus-value imposable sur gains de cession de valeurs mobilières, de droits sociaux et gains assimilés",2,6,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/pv_pfu.yaml
f3vi,foyer_fiscal,Gains de levée d,1,1,calculateur_impots/yaml/pv_pfu.yaml
f3vt,foyer_fiscal,Clôture du PEA  entre la 2e et la 5e année: gains taxables à 19 %,2,5,impot_revenu/pfu_bareme.yaml; calculateur_impots/yaml/pv_pfu.yaml
f4ba,foyer_fiscal,Revenus fonciers imposables,1,4,calculateur_impots/yaml/credit_assloy.yaml
f4bf,foyer_fiscal,Primes d,1,4,calculateur_impots/yaml/credit_assloy.yaml
f5qf,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-6),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_sans_cga.yaml
f5qg,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-5),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_sans_cga.yaml
f5qn,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-4),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_sans_cga.yaml
f5qo,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-3),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
f5qp,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-2),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
f5qq,foyer_fiscal,Déficits des revenus agricoles des années antérieures non encore déduits (n-1),1,4,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
f6cb,foyer_fiscal,Dépenses de grosses réparations effectuées par les nus-propriétaires (dépenses réalisées au cours de l,1,4,calculateur_impots/yaml/charges_deduc_non_plafonnees_reparations.yaml
f6dd,foyer_fiscal,Déductions diverses,1,4,calculateur_impots/yaml/charges_deduc_non_plafonnees_deddiv.yaml
f6el,foyer_fiscal,Autres pensions alimentaires versées à des enfants majeurs: 1er enfant,1,4,calculateur_impots/yaml/charges_deduc_non_plafonnees_pens_alim.yaml
