variable,entite,label,nb_fichiers,nb_utilisations,exemples_fichiers
abic_defn,individus,Déficits industriels et commerciaux: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_exon,individus,Revenus industriels et commerciaux nets exonérés yc plus-values avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_impm,individus,Locations meublées imposables avec CGA ou viseur (régime du bénéfice réel pour les revenus industriels et commerciaux professionnels),1,2,calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abic_impn,individus,Revenus industriels et commerciaux imposables: régime normal ou simplifié avec CGA ou viseur (régime du bénéfice réel),7,21,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml; calculateur_impots/yaml/reduc_adhcga.yaml; calculateur_impots/yaml/rpns_pv.yaml; ... et 4 autres
abic_info,individus,Revenus industriels et commerciaux professionnels : Revenus nets de la cession ou concession de brevets et assimilés,1,1,calculateur_impots/yaml/rpns_pv.yaml
abic_pvce,individus,Plus-values industrielles et commerciales de cession taxables selon droit commun avec CGA ou viseur (régime du bénéfice réel),2,4,calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/regime_benef_reel_BIC_pro_avec_cga.yaml
abnc_impo,individus,"Revenus non commerciaux professionnels imposables (régime de la déclaration controlée, revenus bénéficiant de l'abattement association agrée ou viseur)",1,1,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
abt_condition_modeste_th_commune,menage,Quotité (ajustée) de l'abattement pour personnes de condition modeste - taxe d'habitation de la commune,1,7,formulas/taxe_habitation.yaml
abt_condition_modeste_th_epci,menage,Quotité (ajustée) de l'abattement pour personnes de condition modeste - taxe d'habitation de l'EPCI (Établissement Public de Coopération Intercommunale),1,7,formulas/taxe_habitation.yaml
abt_general_base_th_commune,menage,Quotité (ajustée) de l'abattement général à la base - taxe d'habitation de la commune,1,8,formulas/taxe_habitation.yaml
abt_general_base_th_epci,menage,Quotité (ajustée) de l'abattement général à la base - taxe d'habitation de l'EPCI (Établissement Public de Coopération Intercommunale),1,7,formulas/taxe_habitation.yaml
abt_pac_1_2_th_commune,menage,"Quotité (ajustée) de l'abattement obligatoire pour charges de famille, pour les deux premières personnes à charge - taxe d'habitation de la commune",1,7,formulas/taxe_habitation.yaml
abt_pac_1_2_th_epci,menage,"Quotité (ajustée) de l'abattement obligatoire pour charges de famille, pour les deux premières personnes à charge - taxe d'habitation de l'EPCI (Établissement Public de Coopération Intercommunale)",1,7,formulas/taxe_habitation.yaml
abt_pac_3pl_th_commune,menage,"Quotité (ajustée) de l'abattement obligatoire pour charges de famille, pour les personnes à charge à partir de la troisième - taxe d'habitation de la commune",1,7,formulas/taxe_habitation.yaml
abt_pac_3pl_th_epci,menage,"Quotité (ajustée) de l'abattement obligatoire pour charges de famille, pour les personnes à charge à partir de la troisième - taxe d'habitation de l'EPCI (Établissement Public de Coopération Intercommunale)",1,7,formulas/taxe_habitation.yaml
accord_interessement,individus,L'individu travaille dans une entreprise couverte par un accord d'intéressement,8,8,leximpact/2024/exoneration_cotisations_employeur_tode_04_salarie_secteur_agricole_sup1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_03_salarie_secteur_agricole_inf_1.6_SMIC_avec_tode.yml; leximpact/2024/prime_partage_valeur_03_salarie_secteur_prive_1_smic_prime_classique.yml; ... et 5 autres
acs,famille,Montant (annuel) de l'ACS,422,422,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 419 autres
activite,individus,Activité,272,548,mes-aides.gouv.fr/test_mes_aides_548f01937b8500590228332d.yaml; mes-aides.gouv.fr/test_mes_aides_546f517b6c5820403d9ba0a5.yaml; calculateur_impots/yaml/caseL.yaml; ... et 269 autres
aeeh,famille,Allocation d'éducation de l'enfant handicapé,1,1,formulas/patrimoine.yaml
aeeh_niveau_handicap,individus,Catégorie de handicap prise en compte pour l'AEEH,1,1,formulas/aeeh.yaml
aer,individus,Allocation équivalent retraite (AER),1,5,formulas/per.yaml
af,famille,Allocations familiales - total des allocations,435,449,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 432 autres
af_nbenf,famille,Nombre d'enfants dans la famille au sens des allocations familiales,2,9,formulas/aah/aah_couple.yaml; formulas/aah/aah_famille.yaml
age,individus,Âge (en années) au premier jour du mois,470,700,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 467 autres
age_en_mois,individus,Âge (en mois),425,426,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 422 autres
agepi,individus,Montant de l'aide à la garde des enfants de parents isolés de Pôle Emploi - AGEPI,1,14,formulas/agepi.yaml
agepi_date_demande,individus,Date de demande d'évaluation à l'éligibilité à l'AGEPI (date du fait générateur),1,14,formulas/agepi.yaml
agepi_temps_travail_en_heure,individus,Temps de travail en heures pour le calcul de l'aide à la garde des enfants de parents isolés de Pôle Emploi - AGEPI,1,14,formulas/agepi.yaml
aide_logement,famille,Aide au logement (tout type),431,473,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 428 autres
aide_logement_base_ressources,famille,Base ressources des allocations logement,2,11,formulas/aides_logement_primo_accedant.yaml; formulas/aides_logement.yaml
aide_logement_base_ressources_individu,individus,Base ressource individuelle des aides logement,1,2,formulas/aides_logement.yaml
aide_logement_date_pret_conventionne,menage,Date de contraction du prêt conventionné ,6,17,mes-aides.gouv.fr/aides_logement_primo_accedant_dhup.yaml; mes-aides.gouv.fr/testMAcas1_6_couple_accedant_a_la_propriete_AL_1126_E_M_de_salaire_net.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; ... et 3 autres
aides_logement,famille,Aides logement nettes,1,2,formulas/ppa/ppa.yaml
aides_logement_primo_accedant_eligibilite,menage,,1,1,formulas/aides_logement_primo_accedant.yaml
alf,famille,Allocation logement familiale,417,421,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 414 autres
allegement_cotisation_maladie_mode_recouvrement,individus,Mode de recouvrement de l'allègement des cotisations maladie sur les bas et moyens salaires (Ex-CICE),8,8,leximpact/2024/exoneration_cotisations_employeur_tode_04_salarie_secteur_agricole_sup1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_03_salarie_secteur_agricole_inf_1.6_SMIC_avec_tode.yml; leximpact/2024/prime_partage_valeur_03_salarie_secteur_prive_1_smic_prime_classique.yml; ... et 5 autres
allocation_retour_emploi,individus,Allocation chômage d'aide au retour à l'emploi (ARE) mensuelle brute,2,2,leximpact/2024/Z_chomeur_célibataire_d1.yml; leximpact/2024/rsa_02_seuil_rsa_chomeur.yml
allocation_retour_emploi_journaliere,individus,Allocation chômage d'aide au retour à l'emploi (ARE) brute journalière au sens Pôle Emploi,2,15,formulas/agepi.yaml; formulas/complement_are.yaml
allocation_securisation_professionnelle,individus,Allocation de sécurisation professionnelle,3,3,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; mes-aides.gouv.fr/test_mes_aides_544123db288947997ea40dc2.yaml; mes-aides.gouv.fr/test_mes_aides_544f7df975fec1b37e6c0288.yaml
alnp_defs,individus,Déficits de locations meublées non professionnelles avec CGA ou viseur (régime du bénéfice réel),1,3,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
alnp_imps,individus,Locations meublées non professionnelles imposables avec CGA ou viseur (régime du bénéfice réel),1,4,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
als,famille,Allocation logement sociale,417,421,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 414 autres
apl,famille,Aide personnalisée au logement,418,422,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 415 autres
arag_defi,individus,"Déficits agricoles (Régime du bénéfice réel, revenus bénéficiant de l'abattement CGA ou viseur)",1,4,calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
arag_impg,individus,"Revenus agricoles imposables, cas général moyenne triennale (Régime du bénéfice réel, revenus bénéficiant de l'abattement CGA ou viseur)",5,14,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml; calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/credits_impot.yaml; ... et 2 autres
arag_impo_n2,individus,"Revenus agricoles, régime du bénéfice réel année n-2",1,1,calculateur_impots/yaml/regime_microBA.yaml
arag_info,individus,Revenus agricoles: revenus nets de la cession ou concession de brevets et assimilés,1,1,calculateur_impots/yaml/rpns_pv.yaml
arag_pvce,individus,"Plus-values agricoles de cession taxables au régime de droit commun (Régime du bénéfice réel, revenus bénéficiant de l'abattement CGA ou viseur)",2,5,calculateur_impots/yaml/rpns_pv.yaml; calculateur_impots/yaml/regime_benef_reel_agricole_avec_cga.yaml
are_salaire_journalier_reference,individus,Salaire journalier de référence (SJR) au sens des allocations chômage,1,1,formulas/complement_are.yaml
ars,famille,Allocation de rentrée scolaire,1,1,formulas/cs/cmu_fiab.yaml
asf,famille,Allocation de soutien familial (ASF),430,433,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 427 autres
asf_elig_enfant,individus,Enfant pouvant ouvrir droit à l'ASF,1,1,formulas/asf/2018-07.yaml
asi,individus,Allocation supplémentaire d'invalidité (ASI),2,9,formulas/cs/cmu_fiab.yaml; formulas/cs/css_abattement_asi.yaml
asi_aspa_base_ressources_individu,individus,Base ressources individuelle du minimum vieillesse/ASPA,3,11,formulas/asi_aspa.yaml; formulas/aspa.yaml; formulas/asi.yaml
asi_eligibilite,individus,Indicatrice individuelle d'éligibilité à l'allocation supplémentaire d'invalidité,1,2,formulas/asi.yaml
asile_demandeur,famille,Famille demandant l'asile,2,2,formulas/ada.yaml; formulas/aefa.yaml
aspa,famille,Allocation de solidarité aux personnes agées,428,442,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 425 autres
aspa_eligibilite,individus,Indicatrice individuelle d'éligibilité à l'allocation de solidarité aux personnes agées,1,3,formulas/asi_aspa.yaml
ass,individus,Montant de l'ASS pour un individu,2,6,mes-aides.gouv.fr/test_mes_aides_544123db288947997ea40dc2.yaml; formulas/per.yaml
ass_base_ressources,famille,Base de ressources de l'ASS,2,9,formulas/ass_mayotte.yaml; formulas/ass_04_2018.yaml
ass_precondition_remplie,individus,Éligible à l'ASS,67,85,mes-aides.gouv.fr/test_mes_aides_548f01937b8500590228332d.yaml; mes-aides.gouv.fr/test_mes_aides_546f517b6c5820403d9ba0a5.yaml; mes-aides.gouv.fr/test_mes_aides_54ea47550c95680655b92a06.yaml; ... et 64 autres
autonomie_financiere,individus,Indicatrice d'autonomie financière vis-à-vis des prestations familiales,1,1,leximpact/2024/Z_couple_1.6_smic_1_aah_1_enfant.yml
autres,menage,,3,5,formulas/anah/test_anah.yaml; formulas/visale.yaml; formulas/aah/aah.yaml
bourse_college,famille,Montant annuel de la bourse de collège,422,422,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 419 autres
bourse_criteres_sociaux_echelon,individus,Échelon de la bourse sur critères sociaux de l'enseignement supérieur en prenant uniquement en compte les critères de ressources et de points de charge,12,12,mes-aides.gouv.fr/ludwig_test_1520950068799.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_1.yaml; mes-aides.gouv.fr/1000E_mois_APL_Zone_3.yaml; ... et 9 autres
bourse_enseignement_sup,individus,Toute bourse de l'enseignement supérieur,4,5,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; mes-aides.gouv.fr/test_mes_aides_544123db288947997ea40dc2.yaml; mes-aides.gouv.fr/test_mes_aides_54bfd8046d9c06c9722b3aee.yaml; ... et 1 autres
bourse_lycee,famille,Montant annuel de la bourse de lycée,422,422,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 419 autres
bourse_recherche,individus,Bourse de recherche,3,3,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; mes-aides.gouv.fr/test_mes_aides_544123db288947997ea40dc2.yaml; mes-aides.gouv.fr/test_mes_aides_54bfd8046d9c06c9722b3aee.yaml
boursier,individus,Élève ou étudiant boursier,19,22,mes-aides.gouv.fr/testMAcas1_6_couple_accedant_a_la_propriete_AL_1126_E_M_de_salaire_net.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_3.yaml; formulas/aides_logement_reforme_janvier_2021.yaml; ... et 16 autres
caah,individus,Complément d'allocation adulte handicapé (mensualisé),4,4,formulas/cs/cmu_fiab.yaml; mes-aides.gouv.fr/ludwig_test_1515421140631.yaml; mes-aides.gouv.fr/ludwig_test_1515420730955.yaml; ... et 1 autres
casa,individus,Contribution additionnelle de solidarité et d'autonomie,1,1,formulas/cs/cmu_fiab.yaml
caseF,foyer_fiscal,Situation pouvant donner droit à une demi-part supplémentaire : conjoint titulaire d'une pension ou d'une carte d'invalidité (vivant ou décédé l'année de perception des revenus),80,305,calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/rvcm.yaml; calculateur_impots/yaml/caseF.yaml; ... et 77 autres
caseG,foyer_fiscal,Titulaire d'une pension de veuve de guerre,80,303,calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/rvcm.yaml; calculateur_impots/yaml/caseF.yaml; ... et 77 autres
caseL,foyer_fiscal,Situation pouvant donner droit à une demi-part supplémentaire: vous vivez seul au 1er janvier de l'année de perception des revenus et vous avez élevé un enfant pendant au moins 5 ans durant la période où vous viviez seul (définition depuis 2009) - Un au moins de vos enfants à charge ou rattaché est issu du mariage avec votre conjoint décédé (définition avant 2008),68,256,calculateur_impots/yaml/reduc_cappme.yaml; calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/charges_deduc_non_plafonnees_deddiv.yaml; ... et 65 autres
caseP,foyer_fiscal,Titulaire d'une pension pour une invalidité d'au moins 40 % ou d'une carte d'invalidité d'au moins 80%,83,308,calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/rvcm.yaml; calculateur_impots/yaml/caseF.yaml; ... et 80 autres
caseS,foyer_fiscal,Vous êtes mariés/pacsés et l'un des deux déclarants âgé de plus de 75 ans est titulaire de la carte du combattant ou d'une pension militaire d'invalidité ou de victime de guerre,80,303,calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/rvcm.yaml; calculateur_impots/yaml/caseF.yaml; ... et 77 autres
caseT,foyer_fiscal,Vous êtes parent isolé au 1er janvier de l'année de perception des revenus,68,266,calculateur_impots/yaml/reduc_cappme.yaml; calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/charges_deduc_non_plafonnees_deddiv.yaml; ... et 65 autres
caseW,foyer_fiscal,"Vous ou votre conjoint (même s'il est décédé), âgés de plus de 75 ans, êtes titulaire de la carte du combattant ou d'une pension militaire d'invalidité ou de victime de guerre",81,304,calculateur_impots/yaml/caseL.yaml; calculateur_impots/yaml/rvcm.yaml; calculateur_impots/yaml/caseF.yaml; ... et 78 autres
categorie_salarie,individus,Catégorie de salarié,78,79,leximpact/2024/01_salarie_prive_1.25_SMIC_d4.yml; leximpact/2024/exoneration_cotisations_employeur_tode_02_salarie_secteur_agricole_sans_tode.yml; leximpact/2024/irpp_economique_11_salarie_cehr_taux2.yml; ... et 75 autres
celibataire_ou_divorce,foyer_fiscal,Déclarant célibataire ou divorcé,1,10,impot_revenu/nombre_de_parts/celibataire_ou_divorce.yaml
cf,famille,Complément familial,430,435,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 427 autres
cf_non_majore_avant_cumul,famille,Complément familial non majoré avant cumul,1,1,formulas/rsa.yaml
charges_locatives,menage,Charges locatives,4,7,formulas/rls_apl.yaml; mes-aides.gouv.fr/ludwig_test_1520950068799.yaml; formulas/aides_logement_reforme_janvier_2021.yaml; ... et 1 autres
choix_exoneration_cotisations_employeur_agricole,individus,L'employeur agricole choisit une exonération de cotisations employeur spécifique au secteur agricole,5,5,leximpact/2024/exoneration_cotisations_employeur_tode_04_salarie_secteur_agricole_sup1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_03_salarie_secteur_agricole_inf_1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_05_salarie_secteur_agricole_sup1.6_SMIC_sans_tode.yml; ... et 2 autres
chomage_brut,individus,Chômage brut,33,33,mes-aides.gouv.fr/test_mes_aides_548f01937b8500590228332d.yaml; mes-aides.gouv.fr/test_mes_aides_54ea47550c95680655b92a06.yaml; mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; ... et 30 autres
chomage_imposable,individus,Allocations chômage imposables,111,114,mes-aides.gouv.fr/test_mes_aides_54931713f6dab3dc7a59442b.yaml; mes-aides.gouv.fr/test_mes_aides_558d2507131e5b05301eaf3a.yaml; mes-aides.gouv.fr/test_mes_aides_55b8811af0f7e3ac6b8f4d7a.yaml; ... et 108 autres
chomage_net,individus,Allocations chômage nettes,39,52,mes-aides.gouv.fr/test_mes_aides_548f01937b8500590228332d.yaml; mes-aides.gouv.fr/test_mes_aides_54ea47550c95680655b92a06.yaml; mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; ... et 36 autres
cncn_aimp,individus,Revenus imposables non commerciaux non professionnels avec CGA (régime de la déclaration contrôlée),1,1,calculateur_impots/yaml/regime_benef_reel_BIC_location_avec_cga.yaml
coloc,menage,Vie en colocation,12,12,mes-aides.gouv.fr/ludwig_test_1520950068799.yaml; mes-aides.gouv.fr/1000E_mois_APL_Zone_3.yaml; mes-aides.gouv.fr/testMAcas1_6_couple_accedant_a_la_propriete_AL_1126_E_M_de_salaire_net.yaml; ... et 9 autres
complement_are_nombre_jours_restants,individus,Nombre de jours restants avant épuisement des droits à l'assurance chômage,1,1,formulas/complement_are.yaml
conjoint,menage,,195,456,mes-aides.gouv.fr/test_mes_aides_548f01937b8500590228332d.yaml; mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; formulas/cs/css.yaml; ... et 192 autres
contrat_aide,individus,L'individu est en contrat aidé,1,12,formulas/agepi.yaml
contrat_de_travail,individus,Type de durée de travail,75,75,leximpact/2024/isf_ifi_01_salarie_3.5_SMIC_immobilier_1.5M.yml; leximpact/2024/ZZ_cotis_fonctionnaire_territoriale_1.6_SMIC.yml; leximpact/2024/Z_couple_retraites_pension_2.3_SMIC_d6.yml; ... et 72 autres
contrat_de_travail_debut,individus,Date d'arrivée dans l'entreprise,1,14,formulas/agepi.yaml
contrat_de_travail_duree,individus,Durée du contrat de travail en mois,1,14,formulas/agepi.yaml
contrat_de_travail_type,individus,Type du contrat de travail,78,91,leximpact/2024/01_salarie_prive_1.25_SMIC_d4.yml; leximpact/2024/exoneration_cotisations_employeur_tode_02_salarie_secteur_agricole_sans_tode.yml; leximpact/2024/irpp_economique_11_salarie_cehr_taux2.yml; ... et 75 autres
contrat_duree_determinee_type,individus,Type du contrat de travail à durée déterminée (CDD),5,5,leximpact/2024/exoneration_cotisations_employeur_tode_04_salarie_secteur_agricole_sup1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_03_salarie_secteur_agricole_inf_1.6_SMIC_avec_tode.yml; leximpact/2024/exoneration_cotisations_employeur_tode_05_salarie_secteur_agricole_sup1.6_SMIC_sans_tode.yml; ... et 2 autres
coupe_bois,individus,Revenus forfaitaire provenant des coupes de bois,1,1,calculateur_impots/yaml/regime_microBA.yaml
css_cmu_forfait_logement_al,famille,"Forfait logement applicable en cas d'aide au logement, pour la métropole",4,9,formulas/cs/cmu.yaml; formulas/cs/cmu_rente_at.yaml; formulas/cs/acs.yaml; ... et 1 autres
css_cmu_forfait_logement_base,famille,Forfait logement applicable en cas de propriété ou d'occupation à titre gratuit,2,5,formulas/cs/acs.yaml; formulas/cs/cmu_fiab.yaml
date_arret_de_travail,individus,Date depuis laquelle la personne est en arrêt de travail,15,15,mes-aides.gouv.fr/ludwig_test_1520950068799.yaml; mes-aides.gouv.fr/500E_mois_APL_Zone_1.yaml; mes-aides.gouv.fr/1000E_mois_APL_Zone_3.yaml; ... et 12 autres
date_creation,individus,Revenus agricoles : Année de création de l’activité,1,2,calculateur_impots/yaml/regime_microBA.yaml
date_debut_chomage,individus,Date de début de chômage,4,5,mes-aides.gouv.fr/test_mes_aides_54d396fd4ec19fce4422725e.yaml; mes-aides.gouv.fr/test_mes_aides_559d204131741cd84c323303.yaml; mes-aides.gouv.fr/test_mes_aides_55f02b141e52de32043695f7.yaml; ... et 1 autres
date_naissance,individus,Date de naissance,628,1102,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 625 autres
dedommagement_victime_amiante,individus,Dédommagement versé aux victimes de l'amiante,3,3,mes-aides.gouv.fr/test_mes_aides_54661ad9f36fa43e77898968.yaml; mes-aides.gouv.fr/test_mes_aides_544123db288947997ea40dc2.yaml; mes-aides.gouv.fr/test_mes_aides_544f7df975fec1b37e6c0288.yaml
degressivite_are,individus,L'individu est soumis à la dégressivité de l'allocation d'Aide au Retour à l'Emploi (ARE),1,1,formulas/complement_are.yaml
demande_rachat,individus,La victime a demandé le rachat partiel de la rente,1,1,formulas/rente_at.yaml
departement_experimentation_rsa,famille,Résidence dans un département expérimentant le préremplissage du RSA,2,4,formulas/rsa.yaml; formulas/ppa/ppa.yaml
depcom,menage,Code INSEE (depcom) de la commune du lieu de résidence,403,436,mes-aides.gouv.fr/test_mes_aides_5493f8dcc85c31d77ab6bfcb.yaml; mes-aides.gouv.fr/test_mes_aides_54918a9edf990f5b0286d016.yaml; mes-aides.gouv.fr/test_mes_aides_55e6c2b70587579f04649960.yaml; ... et 400 autres
depcom_entreprise,individus,Localisation entreprise (depcom),56,57,leximpact/2024/isf_ifi_01_salarie_3.5_SMIC_immobilier_1.5M.yml; leximpact/2024/ZZ_cotis_fonctionnaire_territoriale_1.6_SMIC.yml; leximpact/2024/ass_02_couple_marie_salarie_secteur_prive_1_smic_conjoint_sans_ass.yml; ... et 53 autres
depcom_foyer,foyer_fiscal,Code AFT du lieu de domicile fiscal,1,8,impot_revenu/abattement_dom.yaml
dependance_tarif_etablissement_gir_1_2,individus,Tarif dépendance de l'établissement pour les GIR 1 et 2,1,1,formulas/autonomie.yaml
dependance_tarif_etablissement_gir_3_4,individus,Tarif dépendance de l'établissement pour les GIR 3 et 4,1,1,formulas/autonomie.yaml
dependance_tarif_etablissement_gir_5_6,individus,Tarif dépendance de l'établissement pour les GIR 5 et 6,1,1,formulas/autonomie.yaml
duree_formation,individus,Durée de la formation en heures,1,1,formulas/agepi.yaml
duree_possession_titre_sejour,individus,Durée depuis laquelle l'individu possède un titre de séjour (en années),1,3,formulas/aspa.yaml
ebic_impv,individus,Revenus industriels et commerciaux professionnels imposables: vente de marchandises et assimilées (régime auto-entrepreneur ayant opté pour le versement libératoire),1,1,formulas/microsocial.yaml
